Overs,Wkts,Mdns,Runs,BBI,Ave,Econ,SR
10,3,0,61,Feb-14,20.33,6.1,20
10,3,0,87,Feb-26,29,8.7,20
12.5,3,0,105,Feb-20,35,8.18,25.6
10.3,3,1,85,02-Oct,28.33,8.09,21
10,3,0,75,Feb-16,25,7.5,20
9,3,0,74,Jan-21,24.66,8.22,18
14,3,0,85,Jan-13,28.33,6.07,28
8,3,0,69,Mar-28,23,8.62,16
11,3,0,94,Feb-36,31.33,8.54,22
9,3,0,82,Feb-40,27.33,9.11,18
10,3,0,62,Feb-15,20.66,6.2,20
3,3,0,12,03-Dec,4,4,6
5,3,0,27,Feb-15,9,5.4,10
12,3,1,68,Feb-29,22.66,5.66,24
16,3,0,116,Jan-19,38.66,7.25,32
11,3,0,90,Mar-26,30,8.18,22
13,3,0,128,Jan-29,42.66,9.84,26
13,3,0,86,Feb-18,28.66,6.61,26
10,3,0,76,Mar-26,25.33,7.6,20
4,3,0,18,Mar-18,6,4.5,8
6,3,0,42,Mar-15,14,7,12
10,3,0,77,01-Oct,25.66,7.7,20
8,3,1,38,Feb-16,12.66,4.75,16
17,3,0,132,Feb-18,44,7.76,34
5,3,0,61,Feb-23,20.33,12.2,10
21,3,0,215,Jan-18,71.66,10.23,42
22.2,3,0,202,Jan-18,67.33,9.04,44.6
8,3,0,43,01-Nov,14.33,5.37,16
5,3,0,57,Mar-41,19,11.4,10
12.3,3,0,114,Mar-30,38,9.12,25
11,3,0,90,Feb-30,30,8.18,22
12,3,1,67,1/0,22.33,5.58,24
9,3,0,66,Feb-28,22,7.33,18
8,3,0,68,Mar-25,22.66,8.5,16
7.2,3,0,71,Feb-33,23.66,9.68,14.6
1.4,3,0,10,02-Mar,3.33,6,3.3
7,3,0,51,Feb-19,17,7.28,14
7,3,0,56,Mar-44,18.66,8,14
9,3,0,67,Feb-21,22.33,7.44,18
6.5,3,0,49,Mar-16,16.33,7.17,13.6
12,3,0,74,01-May,24.66,6.16,24
8,3,0,55,Feb-26,18.33,6.87,16
8,3,0,60,Mar-22,20,7.5,16
12,3,0,113,Feb-21,37.66,9.41,24
10,3,0,81,Jan-19,27,8.1,20
6,3,0,50,Feb-27,16.66,8.33,12
11,3,0,96,Feb-18,32,8.72,22
12,3,0,51,Jan-13,17,4.25,24
10,3,0,56,Mar-14,18.66,5.6,20
9.5,3,0,89,Feb-19,29.66,9.05,19.6
7,3,0,44,Feb-27,14.66,6.28,14
21.5,3,0,202,01-Nov,67.33,9.25,43.6
19,3,1,132,Feb-23,44,6.94,38
17,3,0,130,Feb-24,43.33,7.64,34
10,3,0,71,Jan-18,23.66,7.1,20
7,3,0,50,Feb-18,16.66,7.14,14
11,3,0,82,Mar-15,27.33,7.45,22
17,3,0,99,01-May,33,5.82,34
8,3,0,116,Feb-62,38.66,14.5,16
8,3,0,55,Feb-23,18.33,6.87,16
12,3,0,97,Feb-24,32.33,8.08,24
12,3,0,102,Feb-26,34,8.5,24
14,3,0,100,Jan-19,33.33,7.14,28
3,3,0,26,02-Jun,8.66,8.66,6
10,3,0,115,Jan-20,38.33,11.5,20
14,3,0,155,Jan-31,51.66,11.07,28
8,3,0,43,Feb-19,14.33,5.37,16
1,3,0,3,03-Mar,1,3,2
19,3,1,129,Jan-27,43,6.78,38
5,3,0,33,Mar-25,11,6.6,10
5,3,0,41,Mar-18,13.66,8.2,10
14,3,0,85,02-Nov,28.33,6.07,28
16,3,0,137,Mar-37,45.66,8.56,32
12,3,0,148,Jan-45,49.33,12.33,24
2.2,3,0,11,03-Nov,3.66,4.71,4.6
15,3,0,122,Feb-32,40.66,8.13,30
10,3,0,79,01-Sep,26.33,7.9,20
12.4,3,0,119,01-Jul,39.66,9.39,25.3
8,3,0,72,Feb-23,24,9,16
16,3,0,138,Feb-33,46,8.62,32
13,3,0,104,Feb-17,34.66,8,26
10,3,0,72,Mar-26,24,7.2,20
8,3,0,41,Feb-18,13.66,5.12,16
3,3,0,4,03-Apr,1.33,1.33,6
14,3,0,116,01-Dec,38.66,8.28,28
3,3,0,20,03-Nov,6.66,6.66,6
11,3,0,36,Feb-15,12,3.27,22
6,3,0,32,Feb-17,10.66,5.33,12
12,3,0,61,Feb-18,20.33,5.08,24
18.1,3,1,101,01-Jul,33.66,5.55,36.3
10,3,0,93,Feb-38,31,9.3,20
11,3,0,97,Feb-38,32.33,8.81,22
7.2,3,0,56,Feb-29,18.66,7.63,14.6
20,3,0,140,Feb-35,46.66,7,40
15.3,3,0,129,Feb-25,43,8.32,31
19,3,0,151,Jan-13,50.33,7.94,38
8,3,0,58,Feb-24,19.33,7.25,16
10,3,0,79,01-Sep,26.33,7.9,20
3,3,0,18,02-Jan,6,6,6
5,3,0,40,02-Jun,13.33,8,10
11,3,0,110,Mar-32,36.66,10,22
11,3,0,89,01-Aug,29.66,8.09,22
8,3,0,73,Feb-28,24.33,9.12,16
10,3,0,48,Mar-14,16,4.8,20
13.3,3,0,156,Feb-24,52,11.55,27
6,3,0,45,Feb-13,15,7.5,12
7,3,0,64,Feb-31,21.33,9.14,14
14,3,0,128,Feb-31,42.66,9.14,28
13.3,3,0,116,Feb-29,38.66,8.59,27
13,3,1,70,02-Oct,23.33,5.38,26
4,3,0,25,Mar-25,8.33,6.25,8
11,3,0,82,Feb-16,27.33,7.45,22
12,3,0,109,Feb-25,36.33,9.08,24
10,3,0,93,Feb-16,31,9.3,20
6,3,0,42,02-Dec,14,7,12
7,3,0,30,Feb-22,10,4.28,14
16,3,1,90,Jan-15,30,5.62,32
17.2,3,0,135,Feb-15,45,7.78,34.6
10,3,0,92,01-Apr,30.66,9.2,20
19,3,0,142,Jan-23,47.33,7.47,38
10,3,0,79,Feb-33,26.33,7.9,20
15.3,3,1,93,02-Feb,31,6,31
3.4,3,0,18,Mar-18,6,4.9,7.3
9.3,3,0,47,Mar-16,15.66,4.94,19
9,3,0,56,01-Dec,18.66,6.22,18
1,3,0,4,03-Apr,1.33,4,2
12.3,3,0,127,Jan-16,42.33,10.16,25
13,3,0,60,01-Jul,20,4.61,26
6,2,0,37,01-Dec,18.5,6.16,18
7,2,0,28,01-Jun,14,4,21
7,2,0,44,Jan-16,22,6.28,21
6,2,0,44,01-Sep,22,7.33,18
7.3,2,0,81,01-Aug,40.5,10.8,22.5
10,2,0,65,Feb-20,32.5,6.5,30
5,2,0,35,02-Dec,17.5,7,15
2.3,2,0,14,02-Dec,7,5.6,7.5
12,2,1,85,Jan-21,42.5,7.08,36
3,2,0,30,Feb-30,15,10,9
9,2,0,59,01-Sep,29.5,6.55,27
6,2,0,42,Feb-15,21,7,18
4,2,0,29,Feb-29,14.5,7.25,12
6,2,0,34,Jan-14,17,5.66,18
14,2,0,90,02-May,45,6.42,42
12,2,0,84,Jan-18,42,7,36
12,2,0,51,Jan-15,25.5,4.25,36
8,2,0,58,01-Dec,29,7.25,24
7,2,0,83,Jan-39,41.5,11.85,21
3.3,2,0,10,02-Oct,5,2.85,10.5
5.4,2,0,49,01-Mar,24.5,8.64,17
10,2,0,68,Feb-28,34,6.8,30
4,2,0,45,Jan-22,22.5,11.25,12
14,2,0,110,Jan-24,55,7.85,42
11,2,0,106,01-Jan,53,9.63,33
3,2,0,27,02-Nov,13.5,9,9
5,2,0,39,01-Oct,19.5,7.8,15
4,2,0,46,Jan-21,23,11.5,12
4,2,0,32,Feb-18,16,8,12
12,2,0,80,Feb-16,40,6.66,36
5,2,0,30,02-Jun,15,6,15
10,2,0,42,Feb-17,21,4.2,30
7,2,0,69,Feb-45,34.5,9.85,21
7.4,2,0,79,Jan-22,39.5,10.3,23
10,2,0,105,Feb-40,52.5,10.5,30
14,2,2,85,Jan-21,42.5,6.07,42
9,2,1,44,01-Oct,22,4.88,27
3.2,2,0,35,Feb-35,17.5,10.5,10
6,2,0,65,Jan-18,32.5,10.83,18
2,2,0,14,Feb-14,7,7,6
4,2,0,26,Feb-13,13,6.5,12
7.2,2,0,47,Jan-20,23.5,6.4,22
3,2,0,43,Feb-43,21.5,14.33,9
9,2,0,78,Feb-23,39,8.66,27
12,2,0,106,Feb-35,53,8.83,36
8,2,0,59,Feb-15,29.5,7.37,24
17,2,0,98,Feb-25,49,5.76,51
2,2,0,20,Feb-20,10,10,6
16,2,1,104,Jan-21,52,6.5,48
8.4,2,0,77,Feb-19,38.5,8.88,26
12,2,0,156,Jan-43,78,13,36
4,2,0,34,Feb-34,17,8.5,12
6,2,0,46,01-Mar,23,7.66,18
9,2,0,100,Feb-33,50,11.11,27
11.5,2,0,118,Jan-32,59,9.97,35.5
6,2,0,48,Feb-31,24,8,18
7,2,0,54,Feb-36,27,7.71,21
7,2,1,40,Jan-19,20,5.71,21
5.4,2,0,31,Feb-20,15.5,5.47,17
5.1,2,0,62,Feb-23,31,12,15.5
10,2,0,93,Jan-18,46.5,9.3,30
10,2,0,58,Jan-20,29,5.8,30
4,2,0,34,Jan-13,17,8.5,12
8,2,0,53,02-Mar,26.5,6.62,24
4,2,0,14,Feb-14,7,3.5,12
12,2,0,113,01-Apr,56.5,9.41,36
9,2,0,65,Jan-18,32.5,7.22,27
12,2,0,81,Jan-19,40.5,6.75,36
7.1,2,0,54,Feb-30,27,7.53,21.5
7.5,2,0,70,Jan-28,35,8.93,23.5
8,2,0,41,Jan-16,20.5,5.12,24
17,2,0,120,Jan-27,60,7.05,51
9,2,0,39,Jan-14,19.5,4.33,27
5,2,0,63,Jan-31,31.5,12.6,15
10,2,0,52,01-Oct,26,5.2,30
15,2,1,69,Jan-16,34.5,4.6,45
8,2,0,56,01-Nov,28,7,24
8,2,0,42,Feb-19,21,5.25,24
4,2,0,48,Feb-48,24,12,12
8,2,0,46,Feb-19,23,5.75,24
4,2,0,44,Feb-44,22,11,12
11,2,0,79,01-Aug,39.5,7.18,33
4,2,0,40,Feb-40,20,10,12
8,2,0,55,Feb-24,27.5,6.87,24
13,2,0,104,Feb-13,52,8,39
9.5,2,0,83,Feb-23,41.5,8.44,29.5
6,2,0,60,01-Nov,30,10,18
17,2,0,131,01-Jun,65.5,7.7,51
8,2,0,74,Jan-20,37,9.25,24
10,2,0,90,Feb-26,45,9,30
12.5,2,0,99,01-Nov,49.5,7.71,38.5
6.2,2,0,56,01-Dec,28,8.84,19
9,2,0,58,Feb-16,29,6.44,27
2.5,2,0,24,Feb-24,12,8.47,8.5
7.5,2,0,67,Feb-15,33.5,8.55,23.5
3.4,2,0,21,02-Feb,10.5,5.72,11
2.3,2,0,23,01-Apr,11.5,9.2,7.5
10,2,0,68,01-Feb,34,6.8,30
12,2,0,63,Jan-21,31.5,5.25,36
10,2,0,88,Jan-22,44,8.8,30
8,2,0,72,Jan-30,36,9,24
6,2,0,48,Feb-36,24,8,18
9,2,0,61,01-Apr,30.5,6.77,27
7,2,0,36,01-Dec,18,5.14,21
8,2,0,60,Feb-20,30,7.5,24
11,2,1,58,01-Mar,29,5.27,33
2,2,0,10,02-Oct,5,5,6
7,2,1,21,02-Dec,10.5,3,21
3,2,0,21,Feb-21,10.5,7,9
11,2,0,71,Jan-18,35.5,6.45,33
7,2,0,58,Jan-20,29,8.28,21
6.1,2,0,55,Feb-20,27.5,8.91,18.5
7,2,0,78,Jan-38,39,11.14,21
16,2,0,141,Feb-38,70.5,8.81,48
7,2,0,29,Feb-15,14.5,4.14,21
4,2,0,37,Feb-37,18.5,9.25,12
9,2,0,74,Jan-17,37,8.22,27
12,2,0,90,Jan-22,45,7.5,36
7.5,2,0,44,Jan-13,22,5.61,23.5
4,2,0,45,Feb-45,22.5,11.25,12
8.1,2,0,111,Jan-32,55.5,13.59,24.5
9,2,1,31,01-May,15.5,3.44,27
2,2,0,5,02-May,2.5,2.5,6
1.5,2,0,21,Feb-21,10.5,11.45,5.5
3,2,0,6,02-Jun,3,2,9
4,2,0,18,Feb-18,9,4.5,12
11,2,0,101,01-Dec,50.5,9.18,33
7,2,0,53,Feb-34,26.5,7.57,21
13,2,0,82,01-Mar,41,6.3,39
8,2,1,35,Jan-16,17.5,4.37,24
3,2,0,22,Feb-22,11,7.33,9
4,2,0,42,Feb-42,21,10.5,12
7,1,0,67,Jan-34,67,9.57,42
3,1,0,12,01-Dec,12,4,18
1,1,0,10,01-Oct,10,10,6
4,1,0,45,Jan-45,45,11.25,24
2,1,0,19,01-Jul,19,9.5,12
3,1,0,28,01-Nov,28,9.33,18
9,1,0,67,01-Jun,67,7.44,54
6.4,1,0,57,Jan-17,57,8.55,40
3.4,1,0,44,Jan-44,44,12,22
1,1,0,13,Jan-13,13,13,6
11.1,1,0,75,Jan-26,75,6.71,67
24,1,0,158,Jan-18,158,6.58,144
0.4,1,0,4,01-Apr,4,6,4
8,1,0,39,Jan-18,39,4.87,48
6,1,0,51,Jan-24,51,8.5,36
3,1,0,12,01-Dec,12,4,18
9,1,0,63,01-Jun,63,7,54
5,1,0,54,Jan-14,54,10.8,30
8,1,0,49,Jan-15,49,6.12,48
4,1,0,27,Jan-27,27,6.75,24
4,1,0,15,Jan-15,15,3.75,24
7,1,0,84,Jan-19,84,12,42
8,1,0,52,Jan-28,52,6.5,48
2,1,0,19,Jan-19,19,9.5,12
3,1,0,27,Jan-27,27,9,18
5,1,0,35,Jan-18,35,7,30
8,1,0,62,Jan-38,62,7.75,48
4,1,0,36,Jan-36,36,9,24
2,1,0,13,01-Jun,13,6.5,12
3,1,0,30,Jan-30,30,10,18
4,1,0,42,Jan-42,42,10.5,24
9,1,0,93,Jan-51,93,10.33,54
11,1,0,104,Jan-25,104,9.45,66
2,1,0,21,Jan-21,21,10.5,12
3,1,0,29,Jan-29,29,9.66,18
5,1,0,56,Jan-13,56,11.2,30
2,1,0,16,Jan-16,16,8,12
5,1,0,51,Jan-14,51,10.2,30
7,1,1,62,01-Mar,62,8.85,42
2.5,1,0,12,01-Dec,12,4.23,17
4,1,0,49,Jan-49,49,12.25,24
2,1,0,14,01-Apr,14,7,12
4,1,0,29,01-Oct,29,7.25,24
1,1,0,12,01-Dec,12,12,6
6.3,1,0,42,Jan-13,42,6.46,39
13.5,1,0,108,01-Apr,108,7.8,83
3,1,0,31,Jan-17,31,10.33,18
4,1,0,39,Jan-16,39,9.75,24
4.5,1,0,37,01-Jun,37,7.65,29
5,1,0,43,Jan-13,43,8.6,30
3,1,0,35,Jan-15,35,11.66,18
10,1,0,51,01-Jun,51,5.1,60
5,1,0,43,Jan-14,43,8.6,30
8.1,1,0,63,Jan-22,63,7.71,49
8,1,0,67,Jan-34,67,8.37,48
3,1,0,33,Jan-33,33,11,18
15,1,0,73,Jan-26,73,4.86,90
9.2,1,0,53,Jan-16,53,5.67,56
4,1,0,16,01-Sep,16,4,24
5,1,0,53,Jan-26,53,10.6,30
7.3,1,0,60,Jan-15,60,8,45
8,1,0,49,Jan-31,49,6.12,48
4,1,0,47,Jan-26,47,11.75,24
11,1,0,96,Jan-23,96,8.72,66
12.1,1,0,106,Jan-24,106,8.71,73
1,1,0,8,01-Aug,8,8,6
4,1,0,26,Jan-26,26,6.5,24
12,1,1,72,Jan-23,72,6,72
5,1,0,47,Jan-33,47,9.4,30
2,1,0,26,Jan-26,26,13,12
5,1,0,48,Jan-33,48,9.6,30
6,1,0,40,Jan-26,40,6.66,36
3,1,0,44,Jan-44,44,14.66,18
5,1,0,31,Jan-15,31,6.2,30
9,1,1,79,Jan-19,79,8.77,54
2,1,0,27,Jan-27,27,13.5,12
4,1,0,27,Jan-27,27,6.75,24
3,1,0,22,01-Oct,22,7.33,18
3,1,0,20,Jan-20,20,6.66,18
3,1,0,20,01-Aug,20,6.66,18
5,1,0,57,Jan-37,57,11.4,30
4,1,0,30,Jan-30,30,7.5,24
3,1,0,25,Jan-25,25,8.33,18
3,1,0,32,Jan-32,32,10.66,18
12,1,0,115,Jan-15,115,9.58,72
1,1,0,13,Jan-13,13,13,6
4,1,0,22,Jan-22,22,5.5,24
3,1,0,32,Jan-32,32,10.66,18
3,1,0,25,Jan-25,25,8.33,18
1.2,1,0,17,01-Sep,17,12.75,8
8,1,0,63,Jan-29,63,7.87,48
5,1,0,35,Jan-15,35,7,30
10,1,0,92,Jan-26,92,9.2,60
13,1,0,94,Jan-22,94,7.23,78
5,1,0,37,01-Oct,37,7.4,30
3,1,0,29,Jan-29,29,9.66,18
3,1,1,32,Jan-32,32,10.66,18
9,1,0,56,Jan-15,56,6.22,54
3,1,0,16,01-Jun,16,5.33,18
7,1,0,67,Jan-15,67,9.57,42
11,1,0,90,Jan-35,90,8.18,66
3,1,0,30,Jan-30,30,10,18
3,1,0,16,Jan-16,16,5.33,18
4,1,0,36,Jan-22,36,9,24
3,1,0,22,Jan-22,22,7.33,18
3,1,0,28,Jan-28,28,9.33,18
10,1,0,65,Jan-24,65,6.5,60
4,1,0,30,Jan-18,30,7.5,24
6,1,0,83,Jan-25,83,13.83,36
8,1,0,44,Jan-14,44,5.5,48
4,1,0,27,01-Oct,27,6.75,24
6,1,0,61,Jan-36,61,10.16,36
4,1,0,32,Jan-32,32,8,24
6,1,0,45,Jan-27,45,7.5,36
5,1,0,53,Jan-27,53,10.6,30
7,1,0,50,Jan-26,50,7.14,42
2,1,0,22,Jan-22,22,11,12
3,1,0,27,Jan-27,27,9,18
9,1,0,68,Jan-17,68,7.55,54
7,1,0,49,Jan-26,49,7,42
6.3,1,0,46,Jan-19,46,7.07,39
6,1,0,72,Jan-36,72,12,36
3,1,0,40,Jan-40,40,13.33,18
8,1,1,49,Jan-17,49,6.12,48
7.4,1,0,58,Jan-20,58,7.56,46
4,1,0,45,Jan-45,45,11.25,24
9,1,0,69,Jan-23,69,7.66,54
11,1,0,95,Jan-24,95,8.63,66
2,1,0,36,Jan-36,36,18,12
7,1,0,73,Jan-39,73,10.42,42
3,1,0,12,01-Dec,12,4,18
3,1,0,29,Jan-29,29,9.66,18
4,1,0,34,Jan-18,34,8.5,24
4,1,0,28,Jan-28,28,7,24
11.2,1,0,113,Jan-22,113,9.97,68
6,1,0,72,Jan-36,72,12,36
3,1,0,15,01-Apr,15,5,18
3,1,0,21,Jan-21,21,7,18
6,1,0,65,Jan-53,65,10.83,36
8,1,0,69,Jan-28,69,8.62,48
12.4,1,0,101,Jan-19,101,7.97,76
5.3,1,0,39,Jan-22,39,7.09,33
4,1,0,44,Jan-44,44,11,24
2,1,0,13,Jan-13,13,6.5,12
4,1,0,37,Jan-17,37,9.25,24
7,1,0,58,Jan-26,58,8.28,42
3,1,0,13,Jan-13,13,4.33,18
5,1,0,17,Jan-16,17,3.4,30
2.3,1,0,12,01-Dec,12,4.8,15
3,1,1,18,Jan-18,18,6,18
4,1,0,25,Jan-25,25,6.25,24
7,1,0,62,Jan-16,62,8.85,42
4,1,0,28,Jan-13,28,7,24
2.2,1,0,15,Jan-14,15,6.42,14
3,1,0,32,Jan-32,32,10.66,18
3.5,1,0,31,Jan-16,31,8.08,23
8,1,0,70,Jan-31,70,8.75,48
6,1,0,61,Jan-21,61,10.16,36
7,1,0,51,01-Nov,51,7.28,42
3.4,1,0,38,Jan-24,38,10.36,22
3,1,0,32,Jan-16,32,10.66,18
10,1,0,70,Jan-30,70,7,60
2,1,0,19,Jan-19,19,9.5,12
7,1,1,44,Jan-13,44,6.28,42
9,1,0,80,Jan-29,80,8.88,54
4,1,0,26,Jan-26,26,6.5,24
4.1,1,0,35,Jan-34,35,8.4,25
0.2,1,0,1,01-Jan,1,3,2
7,1,0,51,01-Aug,51,7.28,42
,,,,,,,
